"Student name","Student UIN","Public and Population Health Assessment COURSE TARGET","Public and Population Health Assessment ASSESSED LEVEL","Delivery, Organization, and Financing of Health Services and Health Systems COURSE TARGET","Delivery, Organization, and Financing of Health Services and Health Systems ASSESSED LEVEL","Policy Analysis COURSE TARGET","Policy Analysis ASSESSED LEVEL","Legal & Ethical Bases for Health Services and Health Systems COURSE TARGET","Legal & Ethical Bases for Health Services and Health Systems ASSESSED LEVEL"
"Rowan Thompson","465813832","2","2","2","3","2","2","2","2"
"Cameron Collins","260593801","2","3","2","2","2","3","2","3"
"Ellis Hill","764167300","2","1","2","2","2","1","2","2"
"Charlie Evans","640507764","2","2","2","2","2","2","2","3"
"Leslie Wilson","614610185","2","3","2","3","2","3","2","4"
"Blake Hill","102884476","2","2","2","1","2","2","2","2"
"Robin Garcia","805470097","2","2","2","3","2","2","2","2"
"Kendall Ramirez","205006839","2","1","2","1","2","2","2","1"
"Tracey Garcia","679317334","2","3","2","3","2","3","2","3"
"Devon White","597023450","2","2","2","2","2","2","2","2"
"Riley Rogers","234649210","2","2","2","3","2","2","2","3"
"Jesse Clark","644718899","2","1","2","2","2","1","2","2"
"Avery Turner","615179747","2","3","2","3","2","4","2","3"
"Cameron Harris","721509645","2","2","2","2","2","2","2","2"
"Dana Perez","950477598","2","3","2","2","2","3","2","2"
"Riley Adams","434203260","2","2","2","3","2","2","2","3"
"Tracey Evans","710838852","2","1","2","1","2","2","2","2"
"Pat Evans","480518902","2","2","2","2","2","3","2","2"
"Riley Stewart","616070150","2","3","2","3","2","3","2","3"
"Jordan Evans","190877108","2","2","2","2","2","2","2","2"
"Blake Lee","549291636","2","2","2","3","2","2","2","3"
"Kendall Carter","919779388","2","3","2","2","2","3","2","2"
"Avery Wilson","287778896","2","1","2","2","2","1","2","2"
"Harper Collins","213163014","2","2","2","2","2","2","2","3"
"Dana Lewis","833203794","2","3","2","3","2","3","2","3"
"Tracey Evans","810628531","2","2","2","2","2","2","2","2"
