"Student name","Student UIN","Organizational Dynamics COURSE TARGET","Organizational Dynamics ASSESSED LEVEL","Problem Solving, Decision Making, and Critical Thinking COURSE TARGET","Problem Solving, Decision Making, and Critical Thinking ASSESSED LEVEL","Strategic Planning COURSE TARGET","Strategic Planning ASSESSED LEVEL","Financial Management COURSE TARGET","Financial Management ASSESSED LEVEL"
"Tracey Scott","222948991","3","3","3","4","3","3","3","2"
"Taylor Miller","458611714","3","4","3","3","3","4","3","3"
"Sage White","187341306","3","2","3","3","3","2","3","3"
"Logan Hill","833372708","3","3","3","3","3","3","3","4"
"Harper Davis","645835620","3","4","3","4","3","4","3","4"
"Shawn Wright","300172294","3","3","3","2","3","3","3","3"
"Dana Edwards","276934357","3","2","3","3","3","2","3","2"
"Blake Wright","909036908","3","3","3","3","3","3","3","3"
"Peyton Campbell","919033549","3","4","3","4","3","3","3","4"
"Rowan Morris","643875957","3","3","3","3","3","4","3","3"
"Quinn Miller","105387525","3","2","3","2","3","3","3","2"
"Jamie Smith","414051898","3","3","3","3","3","3","3","3"
"Cameron Allen","380061468","3","4","3","3","3","4","3","3"
"Parker Jones","538675887","3","3","3","4","3","3","3","4"
