"Student name","Student UIN","Ethics, Accountability, and Self-Assessment COURSE TARGET","Ethics, Accountability, and Self-Assessment ASSESSED LEVEL","Team Building and Collaboration COURSE TARGET","Team Building and Collaboration ASSESSED LEVEL","Communication COURSE TARGET","Communication ASSESSED LEVEL","Project Management COURSE TARGET","Project Management ASSESSED LEVEL"
"Kendall Green","812410381","2","3","2","2","2","3","2","2"
"Pat Mitchell","571038548","2","2","2","3","2","2","2","3"
"Robin Lee","446197493","2","3","2","3","2","3","2","3"
"Casey Moore","310992313","2","1","2","2","2","2","2","1"
"Taylor Brown","819738847","2","2","2","2","2","3","2","2"
"River Williams","768358309","2","3","2","3","2","3","2","4"
"Devon Green","920159814","2","2","2","1","2","2","2","2"
"Emery Johnson","985359203","2","3","2","3","2","4","2","3"
"Charlie Nelson","776741540","2","2","2","2","2","2","2","2"
"Logan Clark","219428561","2","1","2","2","2","1","2","2"
"Riley Allen","934052876","2","3","2","3","2","3","2","3"
"Finley Anderson","865710650","2","2","2","3","2","2","2","3"
